Gene_ID,TR_logFC
ENSMUSG00000022214,-0.400744622
ENSMUSG00000022216,0.620578305
ENSMUSG00000022228,-0.646964611
ENSMUSG00000022235,0.551970511
ENSMUSG00000022246,0.84686982
ENSMUSG00000022265,-0.585251551
ENSMUSG00000022270,0.931286842
ENSMUSG00000022272,-0.503734778
ENSMUSG00000022280,0.43659108
ENSMUSG00000022305,-0.547593783
ENSMUSG00000022315,-0.937956
ENSMUSG00000022329,0.576330898
ENSMUSG00000022338,-0.536846774
ENSMUSG00000022340,1.320326689
ENSMUSG00000022357,6.735622441
ENSMUSG00000022358,1.788247997
ENSMUSG00000022365,-0.735506111
ENSMUSG00000022367,1.698635135
ENSMUSG00000022375,1.738352953
ENSMUSG00000022377,1.056826895
ENSMUSG00000022383,2.216104475
ENSMUSG00000022385,1.887645251
ENSMUSG00000022387,-0.435422824
ENSMUSG00000022390,-0.412837982
ENSMUSG00000022421,-1.089471617
ENSMUSG00000022426,-0.49907594
ENSMUSG00000022433,0.401228614
ENSMUSG00000022439,1.387758894
ENSMUSG00000022440,1.092060914
ENSMUSG00000022442,0.626041236
ENSMUSG00000022452,-0.48771242
ENSMUSG00000022456,-0.631534811
ENSMUSG00000022463,-0.719592692
ENSMUSG00000022466,0.532788294
ENSMUSG00000022468,5.078997754
ENSMUSG00000022472,-0.801024362
ENSMUSG00000022474,0.6889832
ENSMUSG00000022479,-0.500156922
ENSMUSG00000022488,1.04337375
ENSMUSG00000022489,0.898265876
ENSMUSG00000022498,-0.693154546
ENSMUSG00000022507,0.608069
ENSMUSG00000022512,1.14779294
ENSMUSG00000022514,0.885534451
ENSMUSG00000022515,-0.446599435
ENSMUSG00000022519,2.988808101
ENSMUSG00000022525,3.885016692
