Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000102001,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0
ENSMUSG00000101685,0,0,0,0,0,0
ENSMUSG00000101738,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0
ENSMUSG00000100720,3.2000003,2.1000001,6.699999,0.8,4.5,3.2000005
ENSMUSG00000025927,0,0,0,2,0,0
ENSMUSG00000100538,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0
ENSMUSG00000100204,0,0,0,2,1,1
ENSMUSG00000084668,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0
ENSMUSG00000043760,244.71767,542.10724,485.11557,280.68982,339.42126,303.0923
ENSMUSG00000104095,51,80.66667,70,48,33,52.666664
ENSMUSG00000089914,0.7189781,5.613289,1.4611852,1.7682744,3.4518323,2.224891
ENSMUSG00000090142,0,0,0,0,0,2
ENSMUSG00000070175,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,2,0
ENSMUSG00000041872,0,0,0,0,0,0
ENSMUSG00000041859,119.074814,208.63654,282.72073,335.99997,260.99982,338.35757
ENSMUSG00000099714,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0
ENSMUSG00000097934,11.177889,12.039955,23.802969,16.454742,29.828783,35.075394
ENSMUSG00000025931,154,268.2633,316.60925,820.1753,611.266,931.78455
ENSMUSG00000077314,0,0,1.3907285,0.90909094,0,0
ENSMUSG00000100929,0.34710744,1.576159,1.7610596,0,3.418919,0.3017897
ENSMUSG00000041809,193.52913,319.7368,257.00085,669.21515,545.228,644.0008
ENSMUSG00000041779,166.89662,422.26013,405.93228,665.9485,503.9442,980.4744
ENSMUSG00000099971,0,0,0,0.91333336,0.30751902,0
ENSMUSG00000100819,0,0,2.2576966,1.8137745,1.4437087,5.2618794
ENSMUSG00000025933,81.04967,102.28112,70,134.42886,137.3772,152.14667
ENSMUSG00000102633,45.666664,47,92,71,43,78
ENSMUSG00000025934,14.046358,32.36019,42.125828,20,38.404858,149.62915
ENSMUSG00000099343,0,0,0,0,0,0
ENSMUSG00000096375,0.07361956,2.0647902,6.3137083,0.8802538,2.2069538,4.983378
ENSMUSG00000025936,0,3.9861112,0,9.999999,2,2
ENSMUSG00000093963,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,2
ENSMUSG00000086194,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0
ENSMUSG00000085079,2,0,2,2,0,0
ENSMUSG00000085679,0,0,0,0,0,0
ENSMUSG00000028033,20,14,11.247478,14,25.999998,16
ENSMUSG00000104138,0,0,0,0,0,0
ENSMUSG00000082935,5.9899874,5.663951,4.48143,4.385002,15.267342,6.995272
ENSMUSG00000103748,28,20,40.666664,37.5,15,7.5
ENSMUSG00000097109,0,0,0.75252235,0,0,0
ENSMUSG00000099692,0,0,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0
ENSMUSG00000041670,9.806666,10.22,13.993151,41.163223,28.927155,54.54415
ENSMUSG00000097642,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0.6037086
ENSMUSG00000101227,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,0,0,0
ENSMUSG00000089553,0,0,0,0,0,0
ENSMUSG00000102766,0,0,2,0,2,0
ENSMUSG00000065405,0,0,0,0,0,0
ENSMUSG00000097970,5.45515,5.4020743,4.191037,5.067116,0,1.2119205
ENSMUSG00000065567,0,0,0,0,0,0
ENSMUSG00000100775,18,4,8,0,4,4
ENSMUSG00000101226,0,0,0,0,0,0
ENSMUSG00000026158,294.36002,263.16553,294.3356,345.74176,326.48807,361.99976
ENSMUSG00000097920,0,0,0,2,0,0
