Gene_ID,Ex.Control_1,Ex.Control_2,Ex.Control_3,Ex.KO_1,Ex.KO_2,Ex.KO_3,In.Control_1,In.Control_2,In.Control_3,In.KO_1,In.KO_2,In.KO_3
ENSMUSG00000017999,1126.9879,1123.9491,1410.3356,2239.8613,1851.467,2731.6172,147,228,334,206,213,172
ENSMUSG00000051375,2330.923,3758.3672,4324.82,3713.3745,3983.7563,5687.947,184,193,126,112,102,103
ENSMUSG00000026638,2635.02,3437.9949,3753.5352,6392.6978,6048.2217,8797.6455,93,210,177,119,151,194
ENSMUSG00000021103,576.7404,508.46454,584.63794,947.07074,828.7629,1156.9163,534,780,748,678,446,524
ENSMUSG00000024976,2682.8845,3623.3845,3878.3845,4590.8677,4437.8906,4893.79,316,553,713,332,336,309
ENSMUSG00000034152,1963.532,2196.804,2695.1653,4066.79,3879.5334,5146.5605,282,482,665,363,468,389
ENSMUSG00000035390,786.473,1116.7559,1175.5114,1625.9169,1455.5718,1968.7196,378,558,500,369,396,332
ENSMUSG00000032869,1811.3496,1926.9769,2388.5154,3039.895,2566.77,3020.7368,187,253,448,192,204,168
ENSMUSG00000031681,1566.8302,2112.2927,2657.2952,3071.479,3204.9446,4903.648,330,585,782,432,485,427
ENSMUSG00000029162,900.1509,497.38925,515.70447,1214.2782,808.25214,1172.8416,184,252,207,182,157,142
ENSMUSG00000046159,1105.167,1580.1078,1812.1073,1435.5272,1484.4872,1669.2275,1538,2253,1758,1084,866,735
ENSMUSG00000046598,454.7761,590.53687,590.24164,928.9245,783.3957,887.78406,137,162,219,159,128,96
ENSMUSG00000039512,1520.6564,2622.411,2427.1428,3246.141,2926.9727,3847.0627,174,292,285,169,200,159
ENSMUSG00000022895,4344.504,6164.215,9030.076,5770.145,6341.6216,9229.742,231,435,1206,269,355,263
ENSMUSG00000028443,392.42856,263.24615,368.03333,268.1192,354.48,352.19867,22,35,26,14,18,4
ENSMUSG00000029086,6026.218,9040.399,12151.983,8194.819,10959.227,10545.327,1424,2495,3248,1301,1361,928
ENSMUSG00000022130,567.8548,680.2542,583.4902,811.62897,908.7504,995.20734,376,493,390,260,332,280
ENSMUSG00000027613,1844.5452,1869.9894,2671.9963,2826.0857,3104.3762,3969.697,157,199,295,170,128,163
ENSMUSG00000028479,1910.6406,2670.382,2867.9685,3118.4802,2724.7434,3082.7285,274,464,473,249,238,182
ENSMUSG00000030086,781.40125,755.97217,905.8145,1259.5691,1307.6385,1594.3704,164,342,304,210,219,189
ENSMUSG00000034189,1169.1771,1380.5662,1466.5184,1650.6033,1662.0157,1909.4685,78,171,86,67,73,60
ENSMUSG00000035898,1078.0762,1877.4148,1897.7438,2028.7765,2251.003,2663.2944,134,198,199,113,142,100
